start_height,end_height,wallet_era,axis,value,share,in_set_lt10,in_set_lt100
951057,951200,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023334281256484946,0.0051771550869185124,0.03433348597231439
951201,951344,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022445176881572493,0.0051771550869185124,0.03433348597231439
951345,951488,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.020834638807483975,0.0051771550869185124,0.03433348597231439
951489,951632,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023987329855016126,0.0051771550869185124,0.03433348597231439
951633,951776,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02027393251279999,0.0051771550869185124,0.03433348597231439
951777,951920,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.016746566285736793,0.0051771550869185124,0.03433348597231439
951921,952064,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.028425863162267948,0.0051771550869185124,0.03433348597231439
952065,952208,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03592611780129622,0.0051771550869185124,0.03433348597231439
952209,952352,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.030725088884451066,0.0051771550869185124,0.03433348597231439
952353,952496,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.027298523858784948,0.0051771550869185124,0.03433348597231439
952497,952640,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02838177497869148,0.0051771550869185124,0.03433348597231439
952641,952784,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.020929061356556155,0.0051771550869185124,0.03433348597231439
952785,952928,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.024180512656927187,0.0051771550869185124,0.03433348597231439
952929,953072,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02304205583210309,0.0051771550869185124,0.03433348597231439
953073,953216,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.0220685740135445,0.0051771550869185124,0.03433348597231439
953217,953360,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.0258836450088797,0.0051771550869185124,0.03433348597231439
953361,953504,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023300132760737727,0.0051771550869185124,0.03433348597231439
953505,953648,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02126667232903738,0.0051771550869185124,0.03433348597231439
953649,953792,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.017490641356452806,0.0051771550869185124,0.03433348597231439
953793,953936,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.019090242262771912,0.0051771550869185124,0.03433348597231439
953937,954080,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01861348474335803,0.0051771550869185124,0.03433348597231439
954081,954224,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021569559046404774,0.0051771550869185124,0.03433348597231439
954225,954368,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01848230906052632,0.0051771550869185124,0.03433348597231439
954369,954512,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01878133183954686,0.0051771550869185124,0.03433348597231439
954513,954656,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.015850359536935255,0.0051771550869185124,0.03433348597231439
954657,954800,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.014908166632380737,0.0051771550869185124,0.03433348597231439
954801,954944,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018620574832772994,0.0051771550869185124,0.03433348597231439
954945,955088,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.017137233994282863,0.0051771550869185124,0.03433348597231439
955089,955232,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01897734394450597,0.0051771550869185124,0.03433348597231439
955233,955376,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.019223935701995085,0.0051771550869185124,0.03433348597231439
955377,955520,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01990414158282274,0.0051771550869185124,0.03433348597231439
955521,955664,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.016959956060792206,0.0051771550869185124,0.03433348597231439
955665,955808,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.015680315061749533,0.0051771550869185124,0.03433348597231439
955809,955952,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021486651463847234,0.0051771550869185124,0.03433348597231439
955953,956096,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.027004991514757017,0.0051771550869185124,0.03433348597231439
956097,956240,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.0258847683734235,0.0051771550869185124,0.03433348597231439
956241,956384,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.028494890689248056,0.0051771550869185124,0.03433348597231439
956385,956528,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.0254874631706077,0.0051771550869185124,0.03433348597231439
956529,956672,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018459601593172604,0.0051771550869185124,0.03433348597231439
956673,956816,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.017759509105927704,0.0051771550869185124,0.03433348597231439
956817,956960,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02442085769130749,0.0051771550869185124,0.03433348597231439
956961,957104,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02440666948963185,0.0051771550869185124,0.03433348597231439
957105,957248,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02329173101807405,0.0051771550869185124,0.03433348597231439
957249,957392,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023644821218472663,0.0051771550869185124,0.03433348597231439
957393,957536,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023577893235967422,0.0051771550869185124,0.03433348597231439
957537,957680,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.017531216996955954,0.0051771550869185124,0.03433348597231439
957681,957824,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01625162000211756,0.0051771550869185124,0.03433348597231439
957825,957968,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.021602810288436334,0.0051771550869185124,0.03433348597231439
957969,958112,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.023154410773471672,0.0051771550869185124,0.03433348597231439
958113,958256,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025420720017041824,0.0051771550869185124,0.03433348597231439
958257,958400,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.025922116453681757,0.0051771550869185124,0.03433348597231439
958401,958544,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022763503691076128,0.0051771550869185124,0.03433348597231439
958545,958688,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01423685794868336,0.0051771550869185124,0.03433348597231439
958689,958832,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018191983314763342,0.0051771550869185124,0.03433348597231439
958833,958976,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022582265762371264,0.0051771550869185124,0.03433348597231439
958977,959120,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02914859797219093,0.0051771550869185124,0.03433348597231439
959121,959264,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.03044385313995178,0.0051771550869185124,0.03433348597231439
959265,959408,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02138556368011339,0.0051771550869185124,0.03433348597231439
959409,959552,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02622172288464452,0.0051771550869185124,0.03433348597231439
959553,959696,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.018646305122793704,0.0051771550869185124,0.03433348597231439
959697,959840,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.01905371878539453,0.0051771550869185124,0.03433348597231439
959841,959984,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02509539093275944,0.0051771550869185124,0.03433348597231439
959985,960128,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.02366512016415322,0.0051771550869185124,0.03433348597231439
960129,960272,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.022453545920635393,0.0051771550869185124,0.03433348597231439
960273,960416,Boltz (boltz-backend ≥9af5faa3),input_order,Bip69,0.030564716560420854,0.0051771550869185124,0.03433348597231439
939969,940112,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.37734423920803273,0.0005530956389720385,0.0036635201862972406
940113,940256,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.37267386045082757,0.0005530956389720385,0.0036635201862972406
940257,940400,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.4726541465059994,0.0005530956389720385,0.0036635201862972406
940401,940544,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.46527507533178947,0.0005530956389720385,0.0036635201862972406
940545,940688,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.3698338624770806,0.0005530956389720385,0.0036635201862972406
940689,940832,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.3625011380471938,0.0005530956389720385,0.0036635201862972406
940833,940976,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.3668728273155751,0.0005530956389720385,0.0036635201862972406
940977,941120,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.4059455349080367,0.0005530956389720385,0.0036635201862972406
941121,941264,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.33651565553351137,0.0005530956389720385,0.0036635201862972406
941265,941408,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.34160419146787196,0.0005530956389720385,0.0036635201862972406
941409,941552,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.4834579462570381,0.0005530956389720385,0.0036635201862972406
941553,941696,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.539857374089746,0.0005530956389720385,0.0036635201862972406
941697,941840,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.4813967523002219,0.0005530956389720385,0.0036635201862972406
941841,941984,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.37118676141443013,0.0005530956389720385,0.0036635201862972406
941985,942128,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.410967010967011,0.0005530956389720385,0.0036635201862972406
942129,942272,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.3857833412279537,0.0005530956389720385,0.0036635201862972406
942273,942416,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.46484164765605196,0.0005530956389720385,0.0036635201862972406
942417,942560,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.5697352163704116,0.0005530956389720385,0.0036635201862972406
942561,942704,Boltz (boltz-backend ≥9af5faa3),low_r,Yes,0.5187495037651575,0.0005530956389720385,0.0036635201862972406
